Thread,Block,Number of step,Seed,Test kerkel,"Mean of result of Test kernel
in float_st (MoT)","Significant digits
of MoT",Reference kernel,"Mean of result of Reference kernel 
in double_st (MoR)","Significant digits 
of MoR","Mean of absolute error of 
two kernel results in double_st (MEAN)","Significant digits
of MEAN","Similar Representation Part 
of MoR and MoT (SRP)","Number of Similar Digits
in fractional part of MoR and MoT 
without exponent (NSD)"
32,1024,1,1,1,0.14157E+003,5,8,0.141573212963266E+003,15,0.253019805938947E-003,15,0.14157,5
32,1024,1,2,1,-0.94451E+002,5,8,-0.944515437528662E+002,15,0.259980079732713E-003,15,-0.94451,5
32,1024,1,3,1,-0.12072E+003,5,8,-0.120726427593710E+003,15,0.455100220889903E-003,15,-0.12072,5
32,1024,1,4,1,-0.1308E+002,4,8,-0.130821606731842E+002,15,0.468931240902747E-003,15,-0.1308,4
32,1024,1,5,1,0.12863E+003,5,8,0.128629984260314E+003,15,0.417351013311417E-003,15,0.1286,4
32,1024,1,6,1,0.15766E+003,5,8,0.157666582364970E+003,15,0.460685160135199E-003,15,0.15766,5
32,1024,1,7,1,0.27293E+003,5,8,0.272936606664996E+003,15,0.445743857824254E-003,15,0.27293,5
32,1024,1,8,1,-0.22657E+003,5,8,-0.226574426500749E+003,15,0.472236426787731E-003,15,-0.22657,5
32,1024,1,9,1,-0.96375E+002,5,8,-0.963759972646730E+002,15,0.447948266810271E-003,15,-0.96375,5
32,1024,1,10,1,-0.10327E+003,5,8,-0.103273154132391E+003,15,0.388019110687309E-003,15,-0.10327,5
32,1024,N,1,1,0.14157E+003,5,8,0.141572039192122E+003,15,0.511263606910006E-003,15,0.14157,5
32,1024,N,2,1,-0.94449E+002,5,8,-0.944495209071064E+002,15,0.505607627331983E-003,15,-0.94449,5
32,1024,N,3,1,-0.12072E+003,5,8,-0.120728547775728E+003,15,0.479741874485739E-003,15,-0.12072,5
32,1024,N,4,1,-0.1307E+002,4,8,-0.130798596802633E+002,15,0.507619309550122E-003,15,-0.1307,4
32,1024,N,5,1,0.12862E+003,5,8,0.128627720266937E+003,15,0.504423818085797E-003,15,0.12862,5
32,1024,N,6,1,0.15766E+003,5,8,0.157668878098455E+003,15,0.514805190590550E-003,15,0.15766,5
