Thread,Block,Number of step,Seed,Test kerkel,"Mean of result of Test kernel
in float_st (MoT)","Significant digits
of MoT",Reference kernel,"Mean of result of Reference kernel 
in double_st (MoR)","Significant digits 
of MoR","Mean of absolute error of 
two kernel results in double_st (MEAN)","Significant digits
of MEAN","Similar Representation Part 
of MoR and MoT (SRP)","Number of Similar Digits
in fractional part of MoR and MoT 
without exponent (NSD)"
32,1024,1,1,0,0.141572E+003,6,8,0.141573212963266E+003,15,0.265779022186052E-003,15,0.14157,5
32,1024,1,2,0,-0.94451E+002,5,8,-0.944515437528662E+002,15,0.187611066095882E-003,15,-0.94451,5
32,1024,1,3,0,-0.120726E+003,6,8,-0.120726427593710E+003,15,0.230085030636928E-004,15,-0.120726,6
32,1024,1,4,0,-0.130821E+002,6,8,-0.130821606731842E+002,15,0.289694896000725E-004,15,-0.130821,6
32,1024,1,5,0,0.128629E+003,6,8,0.128629984260314E+003,15,0.200676064707749E-004,15,0.128629,6
32,1024,1,6,0,0.157666E+003,6,8,0.157666582364970E+003,15,0.537841184780063E-004,15,0.157666,6
32,1024,1,7,0,0.272936E+003,6,8,0.272936606664996E+003,15,0.425373921757454E-004,15,0.272936,6
32,1024,1,8,0,-0.226574E+003,6,8,-0.226574426500749E+003,15,0.430022888053827E-005,15,-0.226574,6
32,1024,1,9,0,-0.963759E+002,6,8,-0.963759972646730E+002,15,0.207021730602718E-004,15,-0.963759,6
32,1024,1,10,0,-0.103273E+003,6,8,-0.103273154132391E+003,15,0.595720351554973E-004,15,-0.103273,6
32,1024,N,1,0,0.141572E+003,6,8,0.141572039192122E+003,15,0.263730481719903E-005,15,0.141572,6
32,1024,N,2,0,-0.9444952E+002,7,8,-0.944495209071064E+002,15,0.301867476082406E-005,15,-0.9444952,7
32,1024,N,3,0,-0.120728E+003,6,8,-0.120728547775728E+003,15,0.163315053214319E-005,15,-0.120728,6
32,1024,N,4,0,-0.13079E+002,5,8,-0.130798596802633E+002,15,0.407927048762246E-005,15,-0.13079,5
32,1024,N,5,0,0.1286277E+003,7,8,0.128627720266937E+003,15,0.420248397858813E-005,15,0.1286277,7
32,1024,N,6,0,0.1576688E+003,7,8,0.157668878098455E+003,15,0.163514145583576E-004,15,0.1576688,7
32,1024,N,7,0,0.272934E+003,6,8,0.272934585153896E+003,15,0.148413964780047E-004,15,0.272934,6
32,1024,N,8,0,-0.2265719E+003,7,8,-0.226571982118515E+003,15,0.132424491994242E-005,15,-0.2265719,7
32,1024,N,9,0,-0.963788E+002,6,8,-0.963788888950366E+002,15,0.718243731512302E-005,15,-0.963788,6
32,1024,N,10,0,-0.103270E+003,6,8,-0.103270968573557E+003,15,0.299738530884496E-005,15,-0.103270,6
64,512,1,1,0,0.141574E+003,6,8,0.141574384913979E+003,15,0.108494223240995E-003,15,0.141574,6
64,512,1,2,0,-0.944516E+002,6,8,-0.944515437528662E+002,15,0.858858056744793E-004,15,-0.94451,5
64,512,1,3,0,-0.120726E+003,6,8,-0.120726427593710E+003,15,0.331810291100964E-004,15,-0.120726,6
64,512,1,4,0,-0.13082E+002,5,8,-0.130821606731842E+002,15,0.218931406088529E-004,15,-0.13082,5
64,512,1,5,0,0.1286300E+003,7,8,0.128629984260314E+003,15,0.206224976864177E-004,15,0.1286,4
64,512,1,6,0,0.1576664E+003,7,8,0.157666582364970E+003,15,0.886312461148008E-004,15,0.157666,6
64,512,1,7,0,0.272936E+003,6,8,0.272936606664996E+003,15,0.388428161386400E-004,15,0.272936,6
64,512,1,8,0,-0.226574E+003,6,8,-0.226574426500749E+003,15,0.106025489287731E-003,15,-0.226574,6
64,512,1,9,0,-0.963759E+002,6,8,-0.963759972646730E+002,15,0.308746991066755E-004,15,-0.963759,6
64,512,1,10,0,-0.103273E+003,6,8,-0.103273154132391E+003,15,0.870940493769012E-005,15,-0.103273,6
64,512,N,1,0,0.141572E+003,6,8,0.141572039192122E+003,15,0.263730481719903E-005,15,0.141572,6
64,512,N,2,0,-0.944495E+002,6,8,-0.944495209071064E+002,15,0.173263773319831E-004,15,-0.944495,6
64,512,N,3,0,-0.120728E+003,6,8,-0.120728547775728E+003,15,0.187119015606640E-004,15,-0.120728,6
64,512,N,4,0,-0.13079E+002,5,8,-0.130798596802633E+002,15,0.863638706505298E-005,15,-0.13079,5
64,512,N,5,0,0.1286277E+003,7,8,0.128627720266937E+003,15,0.420248397858813E-005,15,0.1286277,7
64,512,N,6,0,0.157668E+003,6,8,0.157668878098455E+003,15,0.617888849774317E-005,15,0.157668,6
64,512,N,7,0,0.2729345E+003,7,8,0.272934585153896E+003,15,0.148413964780047E-004,15,0.2729345,7
64,512,N,8,0,-0.226572E+003,6,8,-0.226571982118515E+003,15,0.132424491994242E-005,15,-0.22657,5
64,512,N,9,0,-0.963788E+002,6,8,-0.963788888950366E+002,15,0.718243731512302E-005,15,-0.963788,6
64,512,N,10,0,-0.1032709E+003,7,8,-0.103270968573557E+003,15,0.717514072334779E-005,15,-0.1032709,7
128,256,1,1,0,0.141574E+003,6,8,0.141574384913979E+003,15,0.237486152911969E-004,15,0.141574,6
128,256,1,2,0,-0.944514E+002,6,8,-0.944515437528662E+002,15,0.361845068255206E-004,15,-0.94451,5
128,256,1,3,0,-0.120726E+003,6,8,-0.120726427593710E+003,15,0.266345098509646E-005,15,-0.120726,6
128,256,1,4,0,-0.13082E+002,5,8,-0.130821606731842E+002,15,0.416851471527479E-004,15,-0.13082,5
128,256,1,5,0,0.128629E+003,6,8,0.128629984260314E+003,15,0.277445622032246E-006,15,0.128629,6
128,256,1,6,0,0.157666E+003,6,8,0.157666582364970E+003,15,0.741291705708135E-004,15,0.157666,6
128,256,1,7,0,0.272936E+003,6,8,0.272936606664996E+003,15,0.184728799013100E-005,15,0.272936,6
128,256,1,8,0,-0.2265743E+003,7,8,-0.226574426500749E+003,15,0.246452809733455E-004,15,-0.226574,6
128,256,1,9,0,-0.963760E+002,6,8,-0.963759972646730E+002,15,0.357120981675507E-006,15,-0.9637,4
128,256,1,10,0,-0.103273E+003,6,8,-0.103273154132391E+003,15,0.523257513123098E-004,15,-0.103273,6
128,256,N,1,0,0.141572E+003,6,8,0.141572039192122E+003,15,0.263730481719903E-005,15,0.141572,6
128,256,N,2,0,-0.944495E+002,6,8,-0.944495209071064E+002,15,0.301867476082406E-005,15,-0.944495,6
128,256,N,3,0,-0.1207285E+003,7,8,-0.120728547775728E+003,15,0.187119015606640E-004,15,-0.1207285,7
128,256,N,4,0,-0.13079E+002,5,8,-0.130798596802633E+002,15,0.990795281907708E-005,15,-0.13079,5
128,256,N,5,0,0.128627E+003,6,8,0.128627720266937E+003,15,0.420248397858813E-005,15,0.128627,6
128,256,N,6,0,0.157668E+003,6,8,0.157668878098455E+003,15,0.163514145583576E-004,15,0.157668,6
128,256,N,7,0,0.2729345E+003,7,8,0.272934585153896E+003,15,0.148413964780047E-004,15,0.2729345,7
128,256,N,8,0,-0.226571E+003,6,8,-0.226571982118515E+003,15,0.132424491994242E-005,15,-0.226571,6
128,256,N,9,0,-0.963788E+002,6,8,-0.963788888950366E+002,15,0.718243731512302E-005,15,-0.963788,6
128,256,N,10,0,-0.103270E+003,6,8,-0.103270968573557E+003,15,0.299738530884496E-005,15,-0.103270,6
256,128,1,1,0,0.141574E+003,6,8,0.141574384913979E+003,15,0.135760892590042E-004,15,0.141574,6
256,128,1,2,0,-0.944516E+002,6,8,-0.944515437528662E+002,15,0.157093487970882E-003,15,-0.94451,5
256,128,1,3,0,-0.120726E+003,6,8,-0.120726427593710E+003,15,0.750907506130715E-005,15,-0.120726,6
256,128,1,4,0,-0.130821E+002,6,8,-0.130821606731842E+002,15,0.264263580902479E-004,15,-0.130821,6
256,128,1,5,0,0.128630E+003,6,8,0.128629984260314E+003,15,0.206224976864177E-004,15,0.1286,4
256,128,1,6,0,0.157666E+003,6,8,0.157666582364970E+003,15,0.479411419291864E-004,15,0.157666,6
256,128,1,7,0,0.2729365E+003,7,8,0.272936606664996E+003,15,0.221923401113599E-004,15,0.272936,6
256,128,1,8,0,-0.226574E+003,6,8,-0.226574426500749E+003,15,0.430022888053827E-005,15,-0.226574,6
256,128,1,9,0,-0.963760E+002,6,8,-0.963759972646730E+002,15,0.105296470280791E-004,15,-0.9637,4
256,128,1,10,0,-0.1032731E+003,7,8,-0.103273154132391E+003,15,0.218081731873098E-004,15,-0.1032731,7
